"","X","trp_lc_","trp_st_","men_cnt","sem_u","sem_l","blck_nm","trp___1","lcl_tr_","long.x","lat.x","date_st","trap.dist","m_count","long.y","lat.y","pa","date.set","yr","qtr","spp"
"1",1,1,1,0,0,0,"Grumeti",1,"T1",34.459248,-2.004475,"2015/02/14",6942.59964518952,0,662296.694218894,-221627.923068688,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"4",4,2,2,0,0,0,"Grumeti",2,"T2",34.459426,-2.003254,"2015/02/14",7051.68936142506,0,662316.615842929,-221492.937889339,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"7",7,3,3,0,0,0,"Grumeti",3,"T3",34.469528,-1.971872,"2015/02/14",9931.87288279734,0,663443.489016606,-218024.100247117,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"10",10,4,4,0,0,0,"Grumeti",4,"T4",34.47027,-1.970912,"2015/02/14",10017.5020102174,0,663526.127475361,-217918.027926077,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"13",13,5,5,1.138,1.409,0.897,"Grumeti",5,"T5",34.46513,-2.041462,"2015/02/14",3027.74679304803,0,662947.337344631,-225718.07590337,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"16",16,6,6,0,0,0,"Grumeti",6,"T6",34.466335,-2.041376,"2015/02/14",3009.89608680081,0,663081.391854748,-225708.689253885,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"24",24,7,7,4.422,5.787,3.331,"Grumeti",7,"T7",34.465913,-2.071721,"2015/02/14",-266.163607369619,1,663031.366780705,-229063.826710323,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"30",30,8,8,16.353,25.949,10.174,"Grumeti",8,"T8",34.466941,-2.072319,"2015/02/14",-354.084949423717,2,663145.659557863,-229130.05213228,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"36",36,9,9,0,0,0,"Grumeti",9,"T9",34.439449,-2.009687,"2015/02/15",6799.8249659253,0,660093.685489095,-222202.246222173,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"38",38,10,10,0,0,0,"Grumeti",10,"T10",34.439985,-2.008832,"2015/02/15",6894.18471367171,0,660153.394650779,-222107.764437723,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"45",45,11,11,0.122,0.208,0.043,"Grumeti",11,"T11",34.464427,-2.123295,"2015/02/18",-2934.14798025737,4,662860.729657132,-234766.097175952,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"50",50,12,12,0.468,0.871,0.151,"Grumeti",12,"T12",34.46185,-2.122083,"2015/02/18",-3170.46596570341,10,662574.202480407,-234631.817853724,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"53",53,13,13,13.895,23.598,8.02,"Grumeti",13,"T13",34.458139,-2.108158,"2015/02/18",-3556.55483326175,8,662162.854319014,-233091.775768582,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"56",56,14,14,11.625,16.625,8.044,"Grumeti",14,"T14",34.459342,-2.106772,"2015/02/18",-3461.89118677654,18,662296.815213176,-232938.654495215,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"65",65,15,15,9.034,12.732,6.332,"Grumeti",15,"T15",34.463668,-2.090598,"2015/02/18",-2259.43751098914,10,662779.698030804,-231150.782950259,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"69",69,16,16,9.862,13.634,7.062,"Grumeti",16,"T16",34.464553,-2.087885,"2015/02/18",-1985.64170296483,5,662878.423127567,-230850.904333064,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"73",73,17,17,1.685,2.683,0.958,"Grumeti",17,"T17",34.46999,-2.053998,"2015/02/18",1560.87073491362,0,663486.699831172,-227104.649789983,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"74",74,18,18,5.798,7.183,4.648,"Grumeti",18,"T18",34.469508,-2.0547,"2015/02/18",1495.72761272514,1,663433.010436704,-227182.219209807,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
