"","X","ptrans.ht","ptrans.hg","vinc","wane","ptrans.vh","hinc","hrec","feed","run","X","run","perc.vector","perc.host","num.tsetse","trans"
"8",8,0.00469341641342267,0.00210949408554705,0.0415249279415002,0.448253005825228,0.493433754433272,0.10431064950889,0.0837681282355528,0.38728974973519,8,8,8,1.09097214350652,38.2433962388099,4138.06751036695,-10000
"11",11,0.00332083702666685,0.00104756593773025,0.0482189955016365,0.269106109065248,0.597990198200289,0.0679143861584986,0.0129277925755906,0.35615679780421,11,11,11,1.05745842076945,75.3721528959467,4138.06751036695,-10000
"15",15,0.0109957955373079,0.000660483668557135,0.0416449131276381,0.881824886063035,0.211787887114519,0.145719967801434,0.0947561960786698,0.466318434026209,15,15,15,0.317192835764298,16.2097890917784,4138.06751036695,-10000
"38",38,0.00660655118579045,0.0022535030588496,0.0653155959185756,0.178105163935749,0.751177303312346,0.186003495396208,0.0905236527785601,0.418236153288977,38,38,38,1.5049293396915,44.165603877478,4138.06751036694,-10000
"50",50,0.0468416777962632,0.000696993905617855,0.0433009306208075,0.302008633183644,0.338910908502014,0.0689509647827285,0.0962948888959072,0.349711633530523,50,50,50,1.39902097788795,27.8847907818232,4138.06751036694,-10000
"59",59,0.00532832720384002,0.00095827946199337,0.0482756029585532,0.545389607337841,0.316323157137446,0.0979995883775254,0.0598121471033044,0.447226230368212,59,59,59,0.698355404461074,39.118526562203,4138.06751036694,-10000
"65",65,0.0170899348302558,7.78815371578094e-05,0.0393629258589741,0.119030143319548,0.605003683438664,0.182396481670594,0.0859797384201336,0.44054189577885,65,65,65,0.545366227771668,32.0779443305272,4138.06751036694,-10000
"76",76,0.0461811248289235,0.000969430871724617,0.0404753319289923,0.0530825775617152,0.619189215870108,0.120097222691619,0.0999002318258766,0.405291806758575,76,76,76,1.29640876288311,23.7658553103666,4138.06751036694,-10000
"80",80,0.00270793327331543,0.000178999921336072,0.0565587563251145,0.916475931373846,0.650856651106151,0.176413026651274,0.0140674420014625,0.494811863133684,80,80,80,0.424775653704543,81.1810609583834,4138.06751036694,-10000
"83",83,0.00918323884511366,0.0018002659035672,0.0492075123547188,0.788352249480872,0.413319002780458,0.148879556005945,0.0851303085618187,0.358541332945693,83,83,83,1.15369853043029,42.056149060899,4138.06751036694,-10000
"85",85,0.00820052961669862,0.000331466582166031,0.0466129369182435,0.598683940353666,0.550963348092279,0.133160959934133,0.0340942789187073,0.489007430448313,85,85,85,0.816774541766756,64.8209593595123,4138.06751036695,-10000
"101",101,0.00873067220047116,0.00203180424529011,0.0372125829784588,0.133414697402145,0.474008162662387,0.0925748001718583,0.0732070891819875,0.451870536598105,101,101,101,1.27364483359768,35.7928005497473,4138.06751036694,-10000
"102",102,0.0124126750976034,0.00117424467471894,0.0373576325679508,0.662105283959571,0.326273294737097,0.115087148992407,0.098118849719112,0.430809116831437,102,102,102,0.778610676013185,29.1361908129841,4138.06751036695,-10000
"104",104,0.0302511348537542,0.000113298815612216,0.0409328587584353,0.908418804707315,0.454622717339965,0.177537544297489,0.0931118752234907,0.393160586064914,104,104,104,1.3003342963821,44.2827200360299,4138.06751036694,-10000
"115",115,0.0137742298730463,0.003408334145681,0.0638720871767184,0.0231291986060585,0.231548857643781,0.167325365598655,0.046372899831034,0.369065492705985,115,115,115,1.32139394400479,26.5834864973206,4138.06751036695,-10000
"122",122,0.0331102871557884,0.00164106640604907,0.0495567644069825,0.0366172629685584,0.288278481769655,0.139969516427815,0.081928161591565,0.420946026158791,122,122,122,1.10630122548577,21.5190430000724,4138.06751036695,-10000
"123",123,0.00168419745195657,0.00246437388907303,0.0620358706554087,0.829230810324508,0.330744557098625,0.130110917571497,0.0874822207895826,0.338340407689995,123,123,123,0.921939259927211,35.4529449320664,4138.06751036695,-10000
"131",131,0.0103378727431409,0.00045077923744102,0.0602219320858053,0.504757446226566,0.400014037474943,0.0680118672100827,0.0534015302084076,0.488976780622227,131,131,131,0.682374304715278,41.6603151972343,4138.06751036694,-10000
"133",133,0.000342048636339605,0.00150062242158107,0.0642785497612242,0.477551909552335,0.665563620623713,0.197245881783,0.0620158297622693,0.423593011639896,133,133,133,1.12958498364927,58.694930378231,4138.06751036694,-10000
"135",135,0.0115610005708039,0.00274114066135022,0.053402369203271,0.146170654090678,0.49258500118684,0.0721687212311973,0.0974978738752136,0.477028533494061,135,135,135,1.45607538174938,29.1478306527574,4138.06751036695,-10000
"154",154,0.0167078611418791,0.000841714212507941,0.0600105042123003,0.476685100976252,0.294528237004438,0.129653032237633,0.0603395403922341,0.490231192034359,154,154,154,1.4208677783934,50.5996368160325,4138.06751036693,-10000
"157",157,0.0147482876122929,0.00243154967910028,0.0491691608806684,0.356821670029012,0.332387983341143,0.0965170429475916,0.095311922740587,0.373932855776201,157,157,157,1.31546056066722,32.5639918886463,4138.06751036695,-10000
"162",162,0.0119235303619131,0.00102589530514553,0.042800836069067,0.951882790516943,0.386807826162828,0.105180354660098,0.0546127049662755,0.453455076535737,162,162,162,1.28384933218293,51.2432811268849,4138.06751036695,-10000
"181",181,0.0391853176404536,3.10763876943383e-05,0.0656552833615725,0.0545309966116794,0.491628304715967,0.129587856065358,0.0963337539321219,0.492668372906783,181,181,181,0.922279781051192,24.7039383074625,4138.06751036694,-10000
