"","X","ptrans.ht","ptrans.hg","vinc","wane","ptrans.vh","hinc","hrec","feed","run","X","run","perc.vector","perc.host","num.tsetse","trans"
"1",1,0.0603227203491144,0.0033434923062881,0.0472682069105407,0.901088442613871,0.313255457160855,0.0808876881218826,0.0374788425052791,0.336566249215549,1,1,1,5.35416713467765,61.8062386880437,4138.06751036694,-10000
"3",3,0.0334252899887785,0.00458229219228146,0.0585248247920147,0.982702665019825,0.277629980615294,0.186496143203105,0.0447429479544866,0.372836372951744,3,3,3,5.61009835541584,71.208025093032,4138.06751036694,-10000
"5",5,0.0389626223258302,0.00334709474580945,0.0418177168011743,0.581751208324807,0.742241254548542,0.148127477145226,0.0483657069079093,0.376637150245602,5,5,5,4.80917853222918,67.054218787857,4138.06751036694,-10000
"17",17,0.0348851521978341,0.00407659540049383,0.0609552560447327,0.578818120175931,0.739961829785397,0.112840149016244,0.0265060803439197,0.341446097475205,17,17,17,5.35787574425315,75.6205410008997,4138.06751036695,-10000
"32",32,0.0383052985441498,0.00319199762050295,0.0651281544476437,0.238568395936191,0.733440693628462,0.068309164779447,0.0103504835250729,0.362378755412569,32,32,32,5.57639926299293,82.4017115407057,4138.06751036694,-10000
"34",34,0.0216281839267351,0.0040530771469546,0.0364556248731989,0.178727517900644,0.620261035518907,0.0924265501972598,0.0231221449855773,0.439128482311848,34,34,34,4.99808188377881,70.2968057699485,4138.06751036694,-10000
"43",43,0.0440382650708221,0.00468398247162695,0.0430354448186544,0.589003771463707,0.478833967161132,0.0833654225326454,0.0552257470134432,0.448501578190868,43,43,43,5.43901823713118,53.820721231224,4138.06751036695,-10000
"49",49,0.0398706696245261,0.00425150395798264,0.0397861321058668,0.497916625340122,0.297636107486114,0.146761262369218,0.0576242013537752,0.449018364272624,49,49,49,5.53074287589521,60.3489193180766,4138.06751036694,-10000
"53",53,0.070628806787543,0.00230246922743623,0.0485019818728091,0.86664787002282,0.483320291159907,0.123608397042161,0.0826528080176562,0.499093960967963,53,53,53,5.23772002529292,52.6105553806129,4138.06751036695,-10000
"56",56,0.0650508944851905,0.00291804312407854,0.0333972469865888,0.5758126561388,0.584960451472271,0.175352251281869,0.0736377481455488,0.399692626667597,56,56,56,5.53522357450852,59.3260400848843,4138.06751036695,-10000
"60",60,0.0643878950592503,0.00241886041775695,0.0429550378867968,0.778181598179482,0.289553387176245,0.103482004599211,0.0583927151570155,0.440021710334734,60,60,60,5.02547699268535,55.4740174383638,4138.06751036694,-10000
"62",62,0.0136004965639673,0.00378977236857521,0.0338184240716975,0.432343200106032,0.722963616706198,0.113855773663179,0.00923890977307262,0.425157352129269,62,62,62,5.22503523521782,89.2726598358601,4138.06751036694,-10000
"68",68,0.0343766031421162,0.0047896082729171,0.0643226708763822,0.581039774983795,0.233207297237637,0.131306030512663,0.0551144976397064,0.468470129189314,68,68,68,5.83326624102064,60.70951094203,4138.06751036695,-10000
"72",72,0.0672769356322288,0.00128430993057787,0.0534606165136443,0.844537265387375,0.749454217210272,0.190388296912393,0.0664726757347176,0.416202380368486,72,72,72,5.11368727801747,65.7022525592553,4138.06751036695,-10000
"73",73,0.0761937777892128,0.00107624901521369,0.0451169933264842,0.610292617682409,0.42338287631576,0.178949930735212,0.0605722898013987,0.493837411834742,73,73,73,5.62615886540366,64.7335526699087,4138.06751036695,-10000
"91",91,0.0488022846118733,0.00299137545726611,0.0430854208791628,0.168488612921445,0.262124333704263,0.179819807531095,0.0355477113366243,0.355092808341685,91,91,91,4.85867672988295,64.9346745995548,4138.06751036694,-10000
"129",129,0.0519271763253957,0.00455609628203209,0.0579016304867109,0.871615763985182,0.664553069488844,0.113223510783476,0.0729726325776234,0.434544455815029,129,129,129,5.7182492544559,54.6737226585771,4138.06751036694,-10000
"139",139,0.0530575393512845,0.00237009401950054,0.0661956616271908,0.492312431462726,0.290915411638282,0.149397373288839,0.0287959804918753,0.411943616870519,139,139,139,5.83995527026183,75.9632696654168,4138.06751036694,-10000
"147",147,0.0204778705650754,0.00451262377168168,0.0454323317825872,0.884270108352141,0.501942534512933,0.117251205160686,0.0148111718664761,0.37671530066935,147,147,147,5.67788928958227,85.2432996992471,4138.06751036694,-10000
"148",148,0.0547000725657307,0.00348565898793167,0.0533815744661571,0.389104398692762,0.70383311384134,0.173249082933863,0.0770867297014377,0.463041684852098,148,148,148,5.57341661471547,57.2838351766884,4138.06751036694,-10000
"156",156,0.00996485356206074,0.004811430680505,0.0396777783363437,0.87909442983645,0.467984847547393,0.180511376869865,0.0575248912341738,0.465924090865223,156,156,156,4.92559282249924,66.7799570292972,4138.06751036694,-10000
"160",160,0.0462886444238201,0.00271253623037599,0.0415421213966329,0.321642057542889,0.248410607980937,0.0832717810655013,0.0255855280872958,0.449833074310174,160,160,160,5.32833205324188,68.1975507639167,4138.06751036694,-10000
"165",165,0.0673050636177883,0.00470156229211483,0.0615019040059454,0.0178604593748483,0.422060066218209,0.180587038567755,0.0217625725606844,0.460336176384318,165,165,165,5.29465318148899,42.3748267101673,4138.06751036694,-10000
"167",167,0.0690518024259247,0.000447665793106426,0.0486972778707743,0.852737517153984,0.636840548923146,0.143096627920804,0.0258785030008876,0.394995151407823,167,167,167,5.50778160091147,79.7918859791351,4138.06751036694,-10000
"168",168,0.0716536113246158,0.00326956084037665,0.0636369056198979,0.181710523671396,0.394800576586137,0.183277063289595,0.0656207933311506,0.384711999984303,168,168,168,5.50417015007058,54.1028232109149,4138.06751036694,-10000
"171",171,0.0412503053204902,0.00272633204967366,0.0636202479269123,0.275361899183863,0.628707549103256,0.117579671255996,0.00890810796933947,0.364517501366829,171,171,171,5.85226642837627,88.9823447550428,4138.06751036694,-10000
"172",172,0.0471718323609605,0.00122519882875029,0.0658296383733163,0.432749806166878,0.799003882179689,0.138233666413805,0.0164301675869695,0.421464199054016,172,172,172,4.97022468031904,84.7076208579826,4138.06751036694,-10000
"179",179,0.0729951911122538,0.00191116618106491,0.0514406207048179,0.627947542613253,0.773256750250375,0.176200163336191,0.0886952877860419,0.413867826611929,179,179,179,5.10988900931263,56.5161636288777,4138.06751036695,-10000
"182",182,0.0590485529585928,0.000202969148212578,0.0622149933732348,0.189949705896059,0.648466300764633,0.173411404648144,0.0115459397539962,0.403641034195704,182,182,182,4.98720308695685,87.2261753197342,4138.06751036694,-10000
"183",183,0.0496209524641,0.00285923873484717,0.0614460118361904,0.349848153670717,0.37303422994474,0.124477757437527,0.0472842652879694,0.433448712159065,183,183,183,5.06812656063339,62.0365556708426,4138.06751036695,-10000
"185",185,0.0425315035263821,0.00271739485620055,0.041415189002431,0.230593887496998,0.362390522553073,0.0822297298136167,0.0122912870428544,0.36735743679471,185,185,185,5.43272369692281,80.781930539992,4138.06751036693,-10000
"186",186,0.0177705345556512,0.00392759100654861,0.0558330059475809,0.541711031428273,0.33771323007755,0.193110010960605,0.0298800157247538,0.472059194805566,186,186,186,5.48317408514164,78.7103575820242,4138.06751036694,-10000
"190",190,0.0184396300964057,0.00462685328697553,0.0593001049219475,0.116878843770118,0.426453521963861,0.128306811050698,0.0131666014280616,0.425711987405162,190,190,190,5.87406207504625,80.6501958875094,4138.06751036694,-10000
"195",195,0.0685912942855433,0.00483378852826194,0.0374430226634645,0.70822554377873,0.576828659222135,0.0967344748059288,0.0812266352940137,0.388432861797977,195,195,195,5.53241793261736,47.5222743976752,4138.06751036694,-10000
"213",213,0.0430189261138998,0.00362459422008833,0.0624596209576664,0.743599446318164,0.78558349262611,0.097193818872422,0.0429002348959388,0.39242340055174,213,213,213,5.13746765081628,64.0966694755856,4138.06751036694,-10000
"218",218,0.0526587808680534,0.0022083213643101,0.0583225157069042,0.260451368153095,0.303778615140496,0.192249724716134,0.0272175090342139,0.432922169318073,218,218,218,5.83602085229713,76.5880402952517,4138.06751036694,-10000
"224",224,0.058346949608922,0.00127935255440534,0.0349340076604315,0.837954643697722,0.590115931435069,0.153316967070072,0.0260464311475924,0.461340875679472,224,224,224,5.7406758274253,80.3181427063857,4138.06751036694,-10000
"228",228,0.0433466375446692,0.00312536275557475,0.0531116066426504,0.182300300720227,0.457301034902502,0.147296518377215,0.0155960326618321,0.356315458661915,228,228,228,5.79899165352826,81.7517086540001,4138.06751036694,-10000
"237",237,0.036652352277711,0.00355392020261497,0.0367731862204537,0.0823618707354483,0.755496185239498,0.136770653291512,0.0336477077345538,0.49980606357893,237,237,237,5.03282221027459,58.7111927303726,4138.06751036694,-10000
"239",239,0.0554008556655981,0.0019024871066201,0.0535043896330986,0.723644924195984,0.652761925613228,0.152270378993079,0.0359452331174786,0.430867869201854,239,239,239,5.60021530091333,74.7288857556156,4138.06751036696,-10000
"251",251,0.0413287155165151,0.00492463631760562,0.0409688674161599,0.470028747473648,0.635791432138113,0.18105250328475,0.07108383270817,0.406638567721355,251,251,251,5.72708915591699,60.359336646208,4138.06751036694,-10000
"257",257,0.0661088975507766,0.00324726717929589,0.0589854219020732,0.759320818621085,0.474553301897598,0.0911052572794569,0.05881275066641,0.345286134627803,257,257,257,4.99288251086345,54.1853352787845,4138.06751036694,-10000
"260",260,0.0393504990515299,0.00337597576766508,0.0432723147727006,0.343268042497269,0.3122276731594,0.0998888826100466,0.0297203448005273,0.462827676542763,260,260,260,5.59497290000621,68.7138789998114,4138.06751036694,-10000
"265",265,0.0371133531525545,0.0026716813390085,0.0466667326386397,0.293123408873728,0.616039822586347,0.130452903628163,0.0213235256040314,0.40397818127682,265,265,265,5.11259719922524,78.5202972118767,4138.06751036693,-10000
"268",268,0.0339964698024467,0.00473442050433368,0.0546065580861177,0.430077187757089,0.279832549151778,0.0837105048207566,0.0223932108958077,0.380250747914736,268,268,268,5.93056045476944,72.4762196588245,4138.06751036694,-10000
"278",278,0.0470531819154508,0.00179424024231732,0.038758555446278,0.918146663245794,0.512377336377278,0.0954629320124475,0.0111075018108978,0.372740425002373,278,278,278,5.39342196616474,86.6367909629429,4138.06751036694,-10000
"280",280,0.0236572512233071,0.00481676016388461,0.0555955409193489,0.385903606830318,0.243193278779695,0.177255902960058,0.0410920126208065,0.439731837307025,280,280,280,5.68565711006407,69.1640064822204,4138.06751036695,-10000
"293",293,0.0323466883329675,0.00339139855006128,0.0567390967354955,0.573787545059305,0.436253718223702,0.108603423372284,0.0266566551106633,0.431662418414179,293,293,293,5.35104870908067,74.4973032367687,4138.06751036694,-10000
"294",294,0.040206863231957,0.002237287032936,0.0504626343208753,0.210962713313324,0.418081061412906,0.155760645019418,0.0094650541264525,0.368239908123505,294,294,294,5.34112268514039,88.6525700688938,4138.06751036695,-10000
"296",296,0.0294775683927909,0.00447453319904162,0.0444661387666594,0.757126258707182,0.292130432837876,0.164972249269082,0.0316497286966905,0.378431705637874,296,296,296,5.65235560685352,75.5870663595209,4138.06751036695,-10000
"310",310,0.0600096759474091,0.00335759689105209,0.0651680396783166,0.262232840824877,0.649322054578411,0.129916495340318,0.0579069944741398,0.415699148033396,310,310,310,5.45482829889187,57.1756255826149,4138.06751036694,-10000
"315",315,0.063717762142662,0.00295183572857059,0.038784201815088,0.83272553322379,0.543782550942618,0.0818465688986704,0.0477015196488549,0.395672863220291,315,315,315,5.31453976261678,57.6883917173707,4138.06751036695,-10000
"330",330,0.0681261368937604,0.00431585455703898,0.0395293305460907,0.444275964982903,0.622817491379334,0.0855311676844334,0.0711975631735928,0.374712550660285,330,330,330,5.10882035824916,47.0540938188254,4138.06751036694,-10000
"336",336,0.0441472895501554,0.0017317370117805,0.0467956944903824,0.371788970053834,0.647883224148024,0.149607465277519,0.0162139981574573,0.428548996219334,336,336,336,5.28528683299315,84.8465021658316,4138.06751036694,-10000
"337",337,0.0659023858170398,0.00210312145334552,0.0489599523546097,0.653693124616437,0.586294096835516,0.161821814771369,0.0447227161638478,0.387669973421493,337,337,337,5.92218720412071,70.5933800838511,4138.06751036694,-10000
"339",339,0.0780420288631506,0.00130544156433549,0.0541860108056959,0.563643207450642,0.607442583395587,0.0962804825026232,0.0414823033683739,0.454077581731408,339,339,339,5.74386190945946,63.8826479797167,4138.06751036695,-10000
"349",349,0.0470368977602758,0.00339518961682683,0.0571342333287622,0.766489005742338,0.599617601684574,0.113878990538263,0.0482017656536948,0.343823332398276,349,349,349,4.82244251735796,63.4773112131812,4138.06751036694,-10000
"364",364,0.0765024195224605,0.000185218070773408,0.048840228793382,0.151320980587832,0.274591937067453,0.192002870845174,0.0346638331335116,0.450627865360623,364,364,364,4.91667101821935,66.4562411057518,4138.06751036695,-10000
"365",365,0.0322186105863005,0.00310759507668903,0.0473560317232041,0.32481666051948,0.745377703907061,0.132647374593715,0.0207539387712042,0.42344185218343,365,365,365,5.38460160291585,79.8988518695231,4138.06751036695,-10000
"366",366,0.0619324563023634,0.00159317678998341,0.0380762523092174,0.968637647315362,0.539037019980559,0.195725494177577,0.0431040027753372,0.35425167434228,366,366,366,5.3730432456009,73.8393967717434,4138.06751036694,-10000
"369",369,0.0310046266275644,0.00439010215836577,0.034139690515562,0.0483505142700882,0.687296035539219,0.167559799894411,0.0237985021427992,0.465545915788622,369,369,369,5.24286656578179,59.8598711266875,4138.06751036694,-10000
"373",373,0.0276939858125336,0.00433448665559175,0.0479117228401359,0.892265213413653,0.531543234294513,0.130232493033757,0.0405492271354849,0.368774222413117,373,373,373,4.91697655681978,69.5440873411357,4138.06751036695,-10000
"384",384,0.0405103334705904,0.00353969193460769,0.053274428189445,0.500535335719979,0.570016768659093,0.0894504998961464,0.0189557639492714,0.337807344110799,384,384,384,5.47295869645464,77.7158719275033,4138.06751036695,-10000
"389",389,0.0377329148255847,0.00486454390772269,0.0402834980244283,0.511270062570244,0.242515713732643,0.137743274327492,0.0841277029057654,0.487712690693559,389,389,389,5.1180116798016,49.3501210841022,4138.06751036695,-10000
"394",394,0.0436145010768995,0.00413841595052392,0.0452138858855547,0.767960326549788,0.7911812332673,0.166937115410777,0.077434987575716,0.485897051617464,394,394,394,5.91343090922736,60.1585559157559,4138.06751036695,-10000
"409",409,0.0181233480335027,0.00361344792704564,0.0654489286329985,0.718293349633277,0.319797112473799,0.148386137528531,0.0401354205826938,0.489404274771883,409,409,409,4.82170236687342,70.8242452380708,4138.06751036694,-10000
