"","dist","tot"
"1",7000,0
"2",7000,0
"3",7000,0
"4",7000,0
"5",7000,0
"6",7000,0
"7",10000,0
"8",10000,0
"9",10000,0
"10",10000,0
"11",10000,0
"12",10000,0
"13",3000,1.138
"14",3000,0
"15",3000,0.26
"16",3000,0
"17",3000,1
"18",3000,0
"19",-500,9.391
"20",-500,8.967
"21",-500,4.646
"22",-500,12.177
"23",-500,4.889
"24",-500,1.289
"25",-500,29.805
"26",-500,9.446
"27",-500,17.199
"28",-500,13.636
"29",-500,56.366
"30",-500,19.697
"31",7000,0
"32",7000,0
"33",7000,0
"34",7000,0
"35",7000,0
"36",7000,0
"37",-3000,4.313
"38",-3000,0.26
"39",-3000,4.371
"40",-3000,2.107
"41",-3000,8
"42",-3000,8.916
"43",-3500,19.206
"44",-3500,21.732
"45",-3500,2.634
"46",-3500,28.29
"47",-3500,11.707
"48",-3500,9.841
"49",-2500,23.247
"50",-2500,37.539
"51",-2500,16.773
"52",-2000,10.203
"53",-2000,67.389
"54",-2000,16.778
"55",1500,3.932
"56",1500,7.378
"57",1500,2.671
"58",1500,7.037
"59",1500,5.037
"60",1500,3.579
"61",5000,0.26
"62",5000,0
"63",5000,0
"64",4500,0
"65",4500,0
"66",4500,0
"67",4500,0
"68",4500,0
"69",4500,0
"70",4500,0
"71",4500,0
"72",4500,0
"73",4500,0
"74",4500,0.26
"75",4500,0
"76",4000,0
"77",4000,0
"78",4000,0
"79",2500,1.714
"80",2500,0
"81",2500,0
"82",2500,0
"83",2500,0.26
"84",2500,0.26
"85",1500,1.466
"86",1500,0
"87",1500,0.26
"88",1500,0.26
"89",1500,0
"90",1500,0.26
"91",0,0.442
"92",0,0
"93",0,9.247
"94",0,11.364
"95",0,3.579
"96",0,3.762
"97",0,6.368
"98",0,0.817
"99",0,0.587
"100",0,0.26
"101",0,8.906
"102",0,7.653
"103",-1500,30.196
"104",-1500,9.298
"105",-1500,21.267
"106",-2000,9.335
"107",-2000,2.557
"108",-2000,12.177
"109",-3000,4.718
"110",-3000,74.537
"111",-3000,51.991
"112",-3000,20.181
"113",-3000,8.967
"114",-3000,62.995
"115",-4000,32.787
"116",-4000,41.916
"117",-4000,12.446
"118",-3500,67.273
"119",-3500,53.799
"120",-3500,22.899
"121",-5000,36.785
"122",-5000,13.461
"123",-5000,199.279
"124",-5000,6.518
"125",-5000,111.823
"126",-5000,14.879
"127",-4000,45.111
"128",-4000,324.123
"129",-4000,10.37
"130",-3500,57.36
"131",-3500,41.084
"132",-3500,109.744
"133",-2000,37.78
"134",-2000,10.696
"135",-2000,56.351
"136",-1500,3.61
"137",-1500,47.676
"138",-1500,14.659
"139",-500,8.655
"140",-500,24.925
"141",-500,16.043
"142",-500,12.219
"143",-500,4.769
"144",-500,9.027
"145",-500,9.164
"146",-500,28.955
"147",-500,9.079
"148",-500,1.884
"149",-500,8.655
"150",-500,7.32
"151",1500,0.817
"152",1500,0.26
"153",1500,1.884
"154",1500,3.932
"155",1500,1.52
"156",1500,2.037
"157",2500,0
"158",2500,2.107
"159",2500,0
"160",2500,0.26
"161",2500,0
"162",2500,0
"163",4000,0.26
"164",4000,0
"165",4000,0
"166",4000,0
"167",4000,0
"168",4000,0
"169",4000,0.26
"170",4000,0
"171",4000,10.745
"172",4000,3.121
"173",4000,0
"174",4000,0.587
"175",7000,0
"176",7000,0
"177",7000,0
"178",7000,0
"179",7000,0
"180",7000,0
"181",-3000,5.84
"182",-3000,19.448
"183",-3000,26.36
"184",-2500,3.38
"185",-2500,32.933
"186",-2500,55.612
"187",-1500,428.856
"188",-1500,246.042
"189",-1500,77.047
"190",-1500,88.238
"191",-1500,209.68
"192",-1500,47.554
"193",0,19.304
"194",0,2.979
"195",0,61.54
"196",0,64.349
"197",0,3
"198",0,1.289
"199",1000,12.219
"200",1000,0.587
"201",1000,0
"202",1000,3.121
"203",1000,0.26
"204",1000,0.26
"205",1500,5.604
"206",1500,14.577
"207",1500,37.106
"208",1500,17.871
"209",1500,2.175
"210",1500,26.728
"211",-1000,45.026
"212",-1000,14.326
"213",-1000,14.724
"214",-1500,36.937
"215",-1500,18.812
"216",-1500,7.143
"217",-1000,2.733
"218",-1000,21.522
"219",-1000,122.272
"220",-1000,7.277
"221",-1000,36.366
"222",-1000,4.04
"223",-1500,35.481
"224",-1500,38.531
"225",-1500,81.34
"226",-1500,25.598
"227",-1500,101.367
"228",-1500,17.949
"229",-3000,110.144
"230",-3000,18.18
"231",-3000,172.59
"232",-3500,34.438
"233",-3500,20.755
"234",-3500,69.067
"235",-5000,248.973
"236",-5000,4.55
"237",-5000,135.25
"238",-7500,4.429
"239",-7500,36.099
"240",-7500,35.231
